runnum,evnum,HALLA_p
11989,6405,7907.47
11989,8956,7907.57
11989,11646,7907.57
11989,14321,7907.57
11989,16915,7907.38
11989,19596,7907.38
11989,22423,7907.43
11989,25120,7907.43
11989,27802,7907.4
11989,30644,7907.4
11989,33331,7907.52
11989,35862,7907.52
11989,38702,7907.44
11989,41370,7907.44
11989,44055,7907.44
11989,46750,7907.5
11989,49287,7907.5
11989,51947,7907.27
11989,54694,7907.27
11989,57389,7907.61
11989,60080,7907.61
11989,62831,7907.53
11989,65523,7907.53
11989,68276,7907.53
11989,70808,7907.37
11989,73333,7907.37
11989,76101,7907.42
11989,78856,7907.42
11989,81685,7907.42
11989,84343,7907.3
11989,86949,7907.3
11989,89636,7907.38
11989,92322,7907.38
11989,95148,7907.49
11989,97824,7907.49
11989,100350,7907.49
11989,103177,7907.42
11989,105847,7907.42
11989,108533,7907.64
11989,111375,7907.64
11989,114205,7907.64
11989,116883,7907.46
11989,119558,7907.46
11989,122414,7907.48
11989,125097,7907.48
11989,127637,7907.37
11989,130322,7907.37
11989,133009,7907.38
11989,135689,7907.38
11989,138505,7907.38
11989,141176,7907.31
11989,143859,7907.31
11989,146544,7907.48
11989,149141,7907.48
11989,151811,7907.32
11989,154480,7907.32
11989,157298,7907.52
11989,160060,7907.52
11989,162823,7907.52
11989,165427,7907.43
11989,168113,7907.43
11989,170803,7907.35
11989,173479,7907.35
11989,176306,7907.34
11989,178971,7907.34
11989,181647,7907.33
11989,184324,7907.33
11989,186997,7907.33
11989,189821,7907.47
11989,192119,7907.47
11989,192291,7907.56
11989,192451,7907.56
11989,192613,7906.38
11989,194834,7906.38
11989,197371,7906.38
11989,200056,7908.19
11989,202653,7908.19
11989,205322,7907.1
11989,207984,7907.1
11989,210608,7907.63
11989,213142,7907.63
11989,215047,7907.33
11989,215130,7907.33
11989,215316,7907.33
11989,215531,7906.38
11989,217755,7906.38
11989,220201,7906.38
11989,222746,7906.38
11989,225211,7906.4
11989,227736,7906.4
11989,230413,7907.4
11989,232949,7907.4
11989,235636,7907.52
11989,238224,7907.52
11989,240904,7907.52
11989,243585,7907.35
11989,246264,7907.35
11989,249013,7907.42
11989,251547,7907.42
11989,254222,7907.44
11989,256951,7907.44
11989,259495,7907.44
11989,262170,7907.43
11989,264864,7907.43
11989,267556,7907.39
11989,270225,7907.39
11989,272914,7907.64
11989,275525,7907.64
11989,278277,7907.51
11989,280966,7907.51
11989,283571,7907.51
11989,286094,7907.48
11989,288771,7907.48
11989,291457,7907.47
11989,294287,7907.47
11989,296823,7907.64
11989,299584,7907.64
11989,302261,7907.88
11989,304928,7907.88
11989,307616,7907.88
11989,310288,7907.22
11989,313047,7907.22
11989,315802,7907.19
11989,318479,7907.19
11989,321074,7907.4
