sbsconfig,runnum,target,sbsmagcurr(A),bbmagcurr(A),ebeam_mean(GeV),ebeam_std(GeV)
4,11449,LD2,630,750,3.739548005416666,0.00022788437962342848
4,11451,LD2,630,750,3.739344344459459,0.00021450682815166286
4,11452,LD2,630,750,3.7394360236507933,0.0001282019777107329
4,11456,LD2,630,750,3.7394137558333322,0.00017533923785000878
4,11493,LD2,630,750,3.739209929407407,0.0003460819362294256
4,11494,LD2,630,750,3.739075018118279,0.00010248189146962049
4,11495,LD2,630,750,3.7391588445454538,0.00010708285708202169
4,11496,LD2,630,750,3.739081594938271,8.792006787844329e-05
4,11551,LD2,630,750,3.7392084671212116,0.00018731496779304598
4,11554,LD2,630,750,3.7391762575438587,0.0001990087476205979
4,11562,LD2,630,750,3.7393234169999996,0.0001344811046525452
4,11563,LD2,630,750,3.7393504979999994,4.410159558703917e-05
4,11564,LD2,630,750,3.7393405974193543,3.555915956960639e-05
4,11565,LD2,630,750,3.739309255595238,0.0001227875723405189
4,11568,LD2,630,750,3.739336986321838,4.909433191155833e-05
4,11570,LD2,630,750,3.739298871886792,0.00012684871154028819
4,11571,LD2,630,750,3.7393156795714284,8.992080111817231e-05
4,11579,LD2,0,750,3.7393225736815916,9.730182831985221e-05
4,11580,LD2,0,750,3.73932753275862,9.870731108907761e-05
4,11581,LD2,0,750,3.739328092957746,9.65558563792464e-05
4,11582,LD2,0,750,3.739303790113636,0.00010256132494047009
4,11583,LD2,0,750,3.7391904867934778,0.0001746337205966119
4,11586,LD2,0,750,3.739278017472527,0.00012990227991559848
4,11593,LD2,1050,750,3.7393301175147924,0.00020544232566230768
4,11594,LD2,1050,750,3.739333538181817,0.0001890083768819161
4,11595,LD2,1050,750,3.7394342126785705,7.253997284224385e-05
7,11996,LD2,1785,750,7.9308120075,0.0005586720764640328
7,11997,LD2,1785,750,7.931054356629212,0.00025513409503165617
7,11998,LD2,1785,750,7.930868755373134,0.0008168914681141286
7,11999,LD2,1785,750,7.930974813349753,0.0007954084546781351
7,12001,LD2,1785,750,7.930663327499998,0.0008606310657801846
7,12002,LD2,1785,750,7.9310822776354675,0.0009862702407397
7,12004,LD2,1785,750,7.930917715833332,0.0005337202910184821
7,12006,LD2,1785,750,7.931004347499999,0.00101526103195664
7,12013,LD2,1785,750,7.931136556666665,0.00039563003694345866
7,12014,LD2,1785,750,7.930992834569892,0.000614385295440148
